Company (Manufacturer),Company (Manufacturer)_idx
5150,0
A. Morin,1
Acalli,2
Adi aka Fijiana (Easy In Ltd),3
Aelan,4
Aequare (Gianduja),5
Ah Cacao,6
Akesson's (Pralus),7
Alain Ducasse,8
Alexandre,9
Altus aka Cao Artisan,10
Amano,11
Amatller (Simon Coll),12
Amazing Cacao,13
Amazona,14
Ambrosia,15
Amedei,16
AMMA,17
Anahata,18
Animas,19
Ara,20
Arete,21
Argencove,22
Artisan du Chocolat,23
Artisan du Chocolat (Casa Luker),24
Aruntam,25
Askinosie,26
Atypic,27
Auro,28
Avanaa,29
Bahen & Co.,30
Baiani,31
Bakau,32
Bankston,33
Bar Au Chocolat,34
Baravelli's,35
Batch,36
Bean,37
Beau Cacao,38
Beehive,39
Belcolade,40
Bellflower,41
Belvie,42
Belyzium,43
Benns,44
Benoit Nihant,45
Bernachon,46
Beschle (Felchlin),47
Bisou,48
Bitacora,49
Bittersweet Origins,50
Bixby,51
Black Mountain,52
Black River (A. Morin),53
Black Sheep,54
Blanxart,55
Blue Bandana,56
Boho,57
Bonaterra,58
Bonnat,59
Bouga Cacao (Tulicorp),60
Bowler Man,61
Brasstown,62
Brasstown aka It's Chocolate,63
Brazen,64
Breeze Mill,65
Bright,66
Britarev,67
Bronx Grrl Chocolate,68
Bullion,69
Burnt Fork Bend,70
By Cacao,71
Cacai Cacao,72
Cacao 70,73
Cacao Arabuco,74
Cacao Atlanta,75
Cacao Barry,76
Cacao Betulia,77
Cacao de Origen,78
Cacao Gonzales,79
Cacao Hunters,80
Cacao Market,81
Cacao Prieto,82
Cacao Sampaka,83
Cacao Santa Fe (Art of Chocolate),84
Cacao Store,85
Cacaodada,86
Cacaosuyo,87
Cacaoyere (Ecuatoriana),88
Callebaut,89
C-Amaro,90
Cao,91
Caofiori,92
Caoni (Tulicorp),93
Captain Pembleton,94
CAR Artisan,95
Caribeans,96
Carlotta Chocolat,97
Casa,98
Casa Lasevicius,99
Castronovo,100
Cello,101
Cemoi,102
Chaleur B,103
Chapon,104
Charm School,105
Chchukululu (Tulicorp),106
Chequessett,107
Chloe Chocolat,108
Chocablog,109
Choco Del Sol,110
Choco Dong,111
Chococard (Lapos),112
Chocolarder,113
Chocola'te,114
Chocolate Alchemist-Philly,115
Chocolate Con Amor,116
Chocolate Conspiracy,117
Chocolate Makers,118
Chocolate Tree,119
Chocolates by Josh (Box Chocolate),120
Chocolatoa,121
Chocolats Privilege,122
Chocolibrium,123
ChocoReko,124
Chocosol,125
Chocotenango,126
Chocovic,127
Chocovivo,128
Choklat,129
Chokola,130
Chokolat Elot (Girard),131
Christophe Toury,132
Christopher Elbow,133
Christopher Morel (Felchlin),134
Chuao Chocolatier,135
Chuao Chocolatier (Pralus),136
Claudio Corallo,137
Cleveland Chocolate Company,138
Cloudforest,139
Coco,140
Cocoa Carib,141
Cocoa Forge,142
Compania de Chocolate (Salgado),143
Condor,144
Confluence,145
Conjure,146
Coppeneur,147
Cote d' Or (Kraft),148
Cravve,149
Creo,150
Crow and Moss,151
Cultura,152
Cuna de Piedra,153
Daintree,154
Dalloway,155
Damson,156
Dancing Lion,157
Dandelion,158
Dandelion (aka Brower Ave),159
Dandelion (Japan),160
Danta,161
DAR,162
Darcis,163
Dark Forest,164
Davis,165
De Mendes,166
De Villiers,167
Dean and Deluca (Belcolade),168
Debauve & Gallais (Michel Cluizel),169
Definite,170
Desbarres,171
DeVries,172
Dick Taylor,173
Diogo Vaz,174
Doble & Bignall,175
Dole (Guittard),176
Dolfin (Belcolade),177
Domori,178
Dormouse,179
Double Spiral,180
Duffy's,181
Dulcinea,182
Durand,183
Durci,184
East Van Roasters,185
Eau de Rose,186
Eclat (Felchlin),187
Eclat (Fruition),188
Edelmond,189
El Buen,190
El Ceibo,191
El Rey,192
Eldora,193
Emerald Estate,194
Emily's,195
Encuentro,196
ENNA,197
Enric Rovira (Claudio Corallo),198
Erithaj (A. Morin),199
Escazu,200
Ethel's Artisan (Mars),201
Ethereal,202
Exquisito,203
Fearless (AMMA),204
Feitoria Cacao,205
Felchlin,206
Finca,207
Finnia,208
Firetree,209
Five (5)Mile,210
FJAK,211
Forever Cacao,212
Forteza (Cortes),213
Fossa,214
Foundry,215
Franceschi,216
Frederic Blondeel,217
French Broad,218
Fresco,219
Fresh Coast,220
Fresh Coast aka Just Good Choc.,221
Friis Holm,222
Friis Holm (Bonnat),223
Fruition,224
Fu Wan,225
Garden Island,226
Georgia Ramon,227
Glennmade,228
Goodnow Farms,229
Gotham,230
Grand Place,231
Great Lakes,232
Green & Black's (ICAM),233
Green Bean to Bar,234
Green Door,235
Grenada Chocolate Co.,236
Guido Castagna,237
Guittard,238
Habitual,239
Hachez,240
Hacienda El Castillo,241
Haigh,242
Harper Macaw,243
Harris & James,244
Hazel Hill,245
Hecho,246
Heilemann,247
Heinde & Verre,248
Heirloom Cacao Preservation (Brasstown),249
Heirloom Cacao Preservation (Fruition),250
Heirloom Cacao Preservation (Guittard),251
Heirloom Cacao Preservation (Manoa),252
Heirloom Cacao Preservation (Millcreek),253
Heirloom Cacao Preservation (Mindo),254
Heirloom Cacao Preservation (Zokoko),255
hello cocoa (now Markham & Fitz),256
Hemisphere,257
hexx,258
Hogarth,259
Hoja Verde (Tulicorp),260
Holy Cacao,261
Honest,262
Hotel Chocolat,263
Hotel Chocolat (Coppeneur),264
Hummingbird,265
Idilio (Felchlin),266
Indah,267
Indi,268
iQ Chocolate,269
Isidro,270
Islands Chocolate,271
Izard,272
Jacque Torres,273
Jean Marie Auboine,274
Johnny Iuzzini,275
Jordis,276
Kad Kokoa,277
Kah Kow,278
Kah Kow - USA,279
Kaitxo,280
Kakao,281
Kallari (Ecuatoriana),282
Kaoka (Cemoi),283
Kasama,284
Kerchner,285
Ki' Xocolatl,286
Kin + Pod,287
Kiskadee,288
Krak,289
Kto,290
K'ul,291
Kyya,292
L.A. Burdick (Felchlin),293
La Cascade du Chocolat,294
La Chocolaterie Nanairo,295
La Chorena,296
La Feverie (Hasnaa),297
La Maison du Chocolat (Valrhona),298
La Oroquidea,299
La Pepa de Oro,300
La Rifa,301
Laia aka Chat-Noir,302
Lajedo do Ouro,303
Lake Champlain (Callebaut),304
L'Amourette,305
Land,306
Landmark (Amano),307
Legast,308
Letterpress,309
Levy,310
Lilla,311
Lillie Belle,312
Lindt & Sprungli,313
Lirio,314
Loiza,315
Lonohana,316
Loon,317
Love Bar,318
Love Brown,319
Luisa Abram,320
Luisa's Vegan,321
Luker,322
Lumineux,323
Machu Picchu Trading Co.,324
MaDe Atlantic City Chocolate Bar,325
Madecasse (Cinagra),326
Madhu,327
Madre,328
Maglio,329
Majani,330
Malagasy (Chocolaterie Robert),331
Malagos,332
Malai,333
Malie Kai (Guittard),334
Malmo,335
Mana,336
Manifesto Cacao,337
Manoa,338
Manufaktura Czekolady,339
Map Chocolate,340
Marana,341
Maribea,342
Marigold's Finest,343
Markham & Fitz,344
Marou,345
Mars,346
Marsatta,347
Martin Mayer,348
Mast Brothers,349
Matale,350
Maui Kuia,351
Maverick,352
Mayacama,353
McGuire,354
Meadowlands,355
Mellow,356
Menakao (aka Cinagra),357
Mesocacao,358
Mestico,359
Metiisto,360
Metropolitan,361
Meybol,362
Michel Cluizel,363
Middlebury,364
Mike & Becky,365
Millcreek Cacao Roasters,366
Millesime,367
Milton,368
Mindo,369
Minimal,370
Mirzam,371
Misina,372
Mission,373
Mita,374
Moho,375
Moka Origins,376
Moku,377
Molucca,378
Momotombo,379
Monarque,380
Monsieur Truffe,381
Monsoon,382
Montecristi,383
MUCHO,384
Muchomas (Mesocacao),385
Musee du Chocolat Theobroma,386
Mutari,387
Nahua,388
Naive,389
Nanea,390
Nathan Miller,391
Nearynogs,392
Neuhaus (Callebaut),393
Nibble,394
Night Owl,395
Nikoa,396
Nina,397
Ninth (9th) & Larkin,398
Noble Bean aka Jerjobo,399
Noir d' Ebine,400
Nova Monda,401
Nuance,402
Nugali,403
Oakland Chocolate Co.,404
Obolo,405
Ocelot,406
Ocho,407
Odyssey,408
Ohiyo,409
Oialla by Bojessen (Malmo),410
Olive and Sinclair,411
Olivia,412
Omanhene,413
Omnom,414
Or Dubh,415
Orfeve,416
organicfair,417
Original Beans (Felchlin),418
Original Hawaiin Chocolate Factory,419
Orquidea,420
Pacari,421
Palet D'Or,422
Palette de Bine,423
Pangea,424
Park 75,425
Parliament,426
Parre Chocolat,427
Pascha,428
Patric,429
Paul Young,430
Peppalo,431
Perrenial,432
Petite Patrie,433
Pierre Marcolini,434
Piety and Desire,435
Pinellas,436
Pitch Dark,437
Pollinator,438
Pomm (aka Dead Dog),439
Poppy and Peep,440
Potomac,441
Pralus,442
Primo Botanica,443
Public Chocolatory,444
Pump Street Bakery,445
Pura Delizia,446
Q Chocolate,447
Qantu,448
Quetzalli (Wolter),449
Raaka,450
Rain Republic,451
Rancho San Jacinto,452
Ranger,453
Raoul Boulanger,454
Raphio,455
Raw Cocoa,456
Republica del Cacao (aka Confecta),457
Ritual,458
River-Sea,459
Roasting Masters,460
Robert (aka Chocolaterie Robert),461
Rococo (Grenada Chocolate Co.),462
Rogue,463
Rozsavolgyi,464
Ruket,465
S.A.I.D.,466
Sacred,467
Salgado,468
San Jose,469
Santander (Compania Nacional),470
Santome,471
Scharffen Berger,472
Seaforth,473
Seahorse,474
Shane Chocolate Works,475
Shark Mountain,476
Shark's,477
Shattell,478
Sibu,479
Sibu Sura,480
Silvio Bessone,481
Sirene,482
Sjolinds,483
"Smooth Chocolator, The",484
Snake & Butterfly,485
Soeka,486
Soklet,487
Sol Cacao,488
Solkiki,489
Solomons Gold,490
Solstice,491
Soma,492
Somerville,493
Soul,494
Spagnvola,495
Spencer,496
Spinnaker,497
Sprungli (Felchlin),498
SRSLY,499
Starchild,500
Stella (aka Bernrain),501
Stone Grindz,502
StRita Supreme,503
Sublime Origins,504
Summerbird,505
Suruca Chocolate,506
Svenska Kakaobolaget,507
sweet beans,508
Sweet Escalier,509
Sweetness,510
Szanto Tibor,511
Tabal,512
Tablette (aka Vanillabeans),513
Tala,514
Tan Ban Skrati,515
Taste Artisan,516
Taste Artisan aka Coleman and Davis,517
Taucherli,518
Taylor Made,519
Taza,520
TCHO,521
Tejas,522
Terroir,523
The Barn,524
Theo,525
Theobroma,526
Thistle & Rose aka Aggie USU,527
Tibito,528
Timo A. Meyer,529
Tiny House,530
To'ak,531
To'ak (Ecuatoriana),532
Tobago Estate (Pralus),533
Tocoti,534
Tosier,535
Tree to Bar,536
Treehouse,537
Treehouse aka Indaphoria,538
Triangle Roasters,539
Tribar,540
Tribe,541
Tsara (Cinagra),542
twenty-four blackbirds,543
Two Ravens,544
Un Dimanche A Paris,545
Uncouth,546
Undone,547
Upchurch,548
Urzi,549
Utopick,550
Vaka,551
Valrhona,552
Vanleer (Barry Callebaut),553
Vao Vao (Chocolaterie Robert),554
Vicuna,555
Videri,556
Vietcacao (A. Morin),557
Vintage Plantations,558
Vintage Plantations (Tulicorp),559
Violet Sky,560
Vivra,561
Wellington Chocolate Factory,562
White Label aka Mutari,563
Whittakers,564
Wilkie's Organic,565
Willie's Cacao,566
Wm,567
Woodblock,568
Xocolat,569
Xocolatisimo,570
Xocolatl,571
Xocolla,572
Zac Squared,573
Zacharias,574
Zak's,575
Zart Pralinen,576
Zokoko,577
Zoto (Chocolatoa),578
Zotter,579
